Countries_and_areas	LEB	PPCT	PD
Afghanistan	63.2	35	35.3
Albania		78.0	84	11.4
Algeria		77.1	100	13.9
Angola		63.1	50	22.2
Argentina	76.6	100	15.7
Armenia		76.0	98	19.9
Australia	83.0	100	8.6
Austria		81.6	100	10.4
Azerbaijan	71.4	98	27.2
Bahamas		73.2	100	19.9
Bahrain		75.8	100	16.1
Bangladesh	74.3	27	18.9
Barbados	76.0	100	16.0
Belarus		74.8	100	23.8
Belgium		81.4	100	10.6
Belize		74.4	83	16.5
Benin		63.4	5	22.6
Bhutan		73.1	87	18.5
Bolivia		72.1	88	17.9
Bosnia_and_Herzegovina	76.8	42	18.7
Botswana	62.2	66	27.0
Brazil		75.9	97	15.5
Brunei_Darussalam	74.3	100	18.5
Burkina_Faso	62.7	12	23.9
Cabo_Verde	74.0	82	17.4
Cambodia	70.1	45	22.5
Cameroon	62.4	23	23.9
Canada		82.2	100	9.6
Central_African_Republic	53.1	1	36.0
Chad		59.6	8	22.7
Chile		80.7	100	10.0
China		77.4	83	15.9
Colombia	79.3	93	9.7
Comoros		67.4	11	20.6
Congo		64.7	36	22.6
Costa_Rica	80.8	96	9.5
Côte_d'Ivoire	62.9	32	21.7
Croatia		78.6	100	16.1
Cuba		77.8	94	16.6
Cyprus		83.1	100	8.2
Czechia		79.1	100	14.3
Democratic_People's_Republic_of_Korea	72.6	13	23.9
Democratic_Republic_of_the_Congo	62.4	4	24.0
Denmark		81.3	100	10.8
Djibouti	65.8	10	22.0
Dominican_Republic	72.8	92	19.1
Ecuador		78.4	95	11.0
Egypt		71.8	100	28.0
El_Salvador	75.0	93	10.7
Equatorial_Guinea	62.2	24	22.1
Eritrea		64.1	12	26.8
Estonia		78.9	100	14.9
Eswatini	57.7	58	35.2
Ethiopia	68.7	8	17.1
Fiji		68.0	51	37.7
Finland		81.6	100	9.6
France		82.5	100	10.6
Gabon		66.5	90	21.3
Gambia		65.5	2	21.1
Georgia		73.3	91	24.9
Germany		81.7	100	12.1
Ghana		66.3	30	22.5
Greece		81.1	100	12.5
Grenada		72.9	88	23.3
Guatemala	72.0	48	16.5
Guinea		61.0	1	24.9
Guinea-Bissau	60.2	1	24.9
Guyana		65.7	82	29.2
Haiti		64.1	4	31.3
Honduras	71.9	50	18.7
Hungary		76.4	100	22.1
Iceland		82.3	100	8.7
India		70.8	71	21.9
Indonesia	71.3	87	24.8
Iran_(Islamic_Republic_of)	77.3	96	14.8
Iraq		72.4	99	23.5
Ireland		81.8	100	9.7
Israel		82.6	100	8.8
Italy		83.0	100	9.0
Jamaica		76.0	83	16.9
Japan		84.3	100	8.3
Jordan		77.9	100	15.3
Kazakhstan	74.0	94	22.4
Kenya		66.1	24	21.0
Kiribati	59.4	12	50.8
Kuwait		81.0	100	11.9
Kyrgyzstan	74.2	78	20.3
Lao_People's_Democratic_Republic	68.5	9	26.8
Latvia		75.4	100	21.6
Lesotho		50.7	41	42.7
Lithuania	76.0	100	19.3
Luxembourg	82.4	100	9.7
Madagascar	65.3	1	26.0
Malawi		65.6	2	22.6
Malaysia	74.7	94	18.4
Maldives	79.6	100	11.6
Mali		62.8	1	22.3
Malta		81.9	100	10.5
Mauritania	68.4	48	16.1
Mauritius	74.1	99	23.2
Mexico		76.0	85	15.6
Micronesia_(Federated_States_of)	63.0	13	46.3
Mongolia	68.1	53	35.0
Montenegro	75.9	62	22.3
Morocco		73.0	98	24.1
Mozambique	58.1	5	30.6
Myanmar		69.1	44	24.9
Namibia		64.6	47	22.6
Nepal		70.9	35	21.5
Netherlands_(Kingdom_of_the)	81.8	100	10.3
New_Zealand	82.0	100	10.3
Nicaragua	75.0	57	15.3
Niger		63.3	3	21
Nigeria		62.6	17	16.9
North_Macedonia	74.8	79	22.7
Norway		82.6	100	8.7
Oman		73.9	100	21.5
Pakistan	65.6	51	29.4
Panama		79.3	100	10.7
Papua_New_Guinea	65.3	10	36
Paraguay	75.8	70	16
Peru		79.9	86	9.7
Philippines	70.4	48	24.5
Poland		78.3	100	17
Portugal	81.6	100	11
Qatar		77.2	100	10.7
Republic_of_Korea	83.3	100	7.3
Republic_of_Moldova	73.3	98	24.1
Romania		75.6	100	21
Russian_Federation	73.2	73	24.2
Rwanda		69.1	5	20.2
Saint_Lucia	74.3	94	17.7
Saint_Vincent_and_the_Grenadines	73.2	93	20.7
Samoa		70.5	37	31.2
Sao_Tome_and_Principe	70.4	4	21.0
Saudi_Arabia	74.3	100	20.9
Senegal		68.6	29	19.5
Serbia		75.9	81	22.0
Seychelles	73.3	100	21.1
Sierra_Leone	60.8	1	23.5
Singapore	83.2	100	9.5
Slovakia	78.2	100	15.5
Slovenia	81.3	100	11.4
Solomon_Islands	65.2	9	39.2
Somalia		56.5	4	30.4
South_Africa	65.3	88	24.1
South_Sudan	62.8	0	16.8
Spain		83.2	100	9.6
Sri_Lanka	76.9	33	13.2
Sudan		69.1	63	22.8
Suriname	71.5	95	22.7
Sweden		82.4	100	8.4
Switzerland	83.4	100	7.9
Syrian_Arab_Republic	72.7	96	22.1
Tajikistan	69.5	86	28.3
Thailand	77.7	85	13.7
Timor-Leste	69.6	15	19.9
Togo		64.3	11	23.9
Tonga		72.6	87	24.8
Trinidad_and_Tobago	76.1	100	17.1
Tunisia		77.0	100	15.7
Türkiye		78.6	95	15.6
Turkmenistan	69.7	100	27.7
Uganda		66.7	1	21.2
Ukraine		73.0	95	25.5
United_Arab_Emirates	76.1	100	18.5
United_Kingdom	81.4	100	10.3
United_Republic_of_Tanzania	67.3	7	17.4
United_States_of_America	78.5	100	13.6
Uruguay		77.1	100	16.5
Uzbekistan	73.0	83	25.3
Vanuatu		65.3	7	39.7
Venezuela_(Bolivarian_Republic_of)	73.9	96	14.8
Viet_Nam	73.7	96	21.2
Yemen		66.6	61	27.6
Zambia		62.5	10	24.6
Zimbabwe	60.7	30	28.4
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
